STAND	PLOT	REPLIC	VWC	TEMP	DATE	TIME	NOTES
58	62	6	14.4	15	2019-09-14	12:58	
58	63	1	9.5	15.2	2019-09-14	13:02	
58	63	2	9	14.8	2019-09-14	13:02	
58	63	3	12.5	14.9	2019-09-14	13:02	
58	63	4	11.5	14.9	2019-09-14	13:02	
58	63	5	11.5	14.8	2019-09-14	13:02	
58	63	6	12	15.1	2019-09-14	13:02	
58	64	1	14.9	14.9	2019-09-14	13:05	
58	64	2	17.4	15.2	2019-09-14	13:05	
58	64	3	15.9	14.9	2019-09-14	13:05	
58	64	4	16.4	14.9	2019-09-14	13:05	
58	64	5	18.4	15.2	2019-09-14	13:05	
58	64	6	19.4	15	2019-09-14	13:05	
58	65	1	18.9	15.1	2019-09-14	13:07	
58	65	2	13	15.4	2019-09-14	13:07	
58	65	3	13	15	2019-09-14	13:07	
58	65	4	11.5	15.1	2019-09-14	13:07	
58	65	5	8.5	15.3	2019-09-14	13:07	
58	65	6	9.5	15	2019-09-14	13:07	
58	66	1	13.5	15.7	2019-09-14	13:10	
58	66	2	12.5	15.6	2019-09-14	13:10	
58	66	3	14.4	15.3	2019-09-14	13:10	
58	66	4	16.4	15.4	2019-09-14	13:10	
58	66	5	18.9	15.5	2019-09-14	13:10	
58	66	6	12.5	15.5	2019-09-14	13:10	
9	82	1	21.3	15.5	2019-09-14	13:33	
9	82	2	21.8	15.2	2019-09-14	13:33	
9	82	3	16.4	15.1	2019-09-14	13:33	
9	82	4	24.3	15.1	2019-09-14	13:33	
9	82	5	24.3	15.2	2019-09-14	13:33	
9	82	6	20.3	15.5	2019-09-14	13:33	
9	43	1	21.3	15.4	2019-09-14	13:36	
9	43	2	15.9	15.3	2019-09-14	13:36	
9	43	3	22.3	15.2	2019-09-14	13:36	
9	43	4	19.3	15.4	2019-09-14	13:36	
9	43	5	21.8	15.3	2019-09-14	13:36	
9	43	6	21.3	15.1	2019-09-14	13:36	
9	44	1	18.9	15.3	2019-09-14	13:38	
9	44	2	18.9	15.3	2019-09-14	13:38	
9	44	3	21.3	15.4	2019-09-14	13:38	
9	44	4	19.3	15.5	2019-09-14	13:38	
9	44	5	20.3	15.1	2019-09-14	13:38	
9	44	6	20.3	15.1	2019-09-14	13:38	
9	45	1	14.9	15.1	2019-09-14	13:40	
9	45	2	22.3	15	2019-09-14	13:40	
9	45	3	20.8	15.4	2019-09-14	13:40	
9	45	4	21.3	15.5	2019-09-14	13:40	
9	45	5	25.2	15.3	2019-09-14	13:40	
9	45	6	18.9	15.1	2019-09-14	13:40	
9	46	1	17.4	15.2	2019-09-14	13:42	
9	46	2	14.4	15.5	2019-09-14	13:42	
9	46	3	20.8	15.3	2019-09-14	13:42	
9	46	4	25.7	15.2	2019-09-14	13:42	
9	46	5	21.3	15.5	2019-09-14	13:42	
9	46	6	19.3	15.2	2019-09-14	13:42	
9	47	1	17.9	15.6	2019-09-14	13:46	
9	47	2	19.3	15.5	2019-09-14	13:46	
9	47	3	18.4	15.5	2019-09-14	13:46	
9	47	4	15.4	15.8	2019-09-14	13:46	
9	47	5	19.3	15.4	2019-09-14	13:46	
9	47	6	18.4	15.3	2019-09-14	13:46	
9	48	1	16.9	15.7	2019-09-14	13:48	
9	48	2	15.4	15.8	2019-09-14	13:48	
9	48	3	13.4	15.6	2019-09-14	13:48	
9	48	4	13.5	15.6	2019-09-14	13:48	
9	48	5	16.4	16.4	2019-09-14	13:48	
9	48	6	17.4	15.6	2019-09-14	13:48	
31	82	1	28.2	15.6	2019-09-14	14:17	
31	82	2	14.9	15.2	2019-09-14	14:17	
31	82	3	18.9	15.4	2019-09-14	14:17	
31	82	4	12	15.6	2019-09-14	14:17	
31	82	5	22.3	15.4	2019-09-14	14:17	
31	82	6	15.4	15.4	2019-09-14	14:17	
31	43	1	14.4	15.5	2019-09-14	14:20	
