PLOT	STAND	VWC.PLOT.MEAN	TEMP.PLOT.MEAN	VWC.LOGGER	TEMP.LOGGER	DATE.TIME.PLOT	DATE.TIME.LOGGER	JULIAN
Plot_61	Stand_58	17.78333333333333	7.866666666666667	0.2351	7.469	2019-10-19T10:44:00Z	2019-10-19T10:25:10Z	292
Plot_62	Stand_58	17.866666666666667	7.55	0.2351	7.469	2019-10-19T10:48:00Z	2019-10-19T10:25:10Z	292
Plot_63	Stand_58	13.35	7.45	0.2351	7.469	2019-10-19T10:51:00Z	2019-10-19T10:25:10Z	292
Plot_64	Stand_58	15.583333333333332	7.5	0.2351	7.469	2019-10-19T10:55:00Z	2019-10-19T10:25:10Z	292
Plot_65	Stand_58	13.95	7.366666666666666	0.2351	7.469	2019-10-19T10:58:00Z	2019-10-19T10:25:10Z	292
Plot_66	Stand_58	14.616666666666667	7.616666666666667	0.2351	7.469	2019-10-19T11:02:00Z	2019-10-19T10:25:10Z	292
Plot_85	Stand_58	14.35	7.233333333333333	0.2351	7.469	2019-10-19T10:40:00Z	2019-10-19T10:25:10Z	292
Plot_10	Stand_6	22.71666666666667	8.4	0.3403	8.369	2019-10-20T09:13:00Z	2019-10-20T08:29:37Z	293
Plot_11	Stand_6	23.183333333333334	8.233333333333334	0.3403	8.369	2019-10-20T09:17:00Z	2019-10-20T08:29:37Z	293
Plot_12	Stand_6	30.55	8.183333333333334	0.3403	8.369	2019-10-20T09:21:00Z	2019-10-20T08:29:37Z	293
Plot_7	Stand_6	25.566666666666666	8.1	0.3403	8.369	2019-10-20T09:01:00Z	2019-10-20T08:29:37Z	293
Plot_76	Stand_6	25.133333333333333	8.15	0.3403	8.369	2019-10-20T08:57:00Z	2019-10-20T08:29:37Z	293
Plot_8	Stand_6	25.4	8.15	0.3403	8.369	2019-10-20T09:05:00Z	2019-10-20T08:29:37Z	293
Plot_9	Stand_6	25.333333333333332	8.233333333333333	0.3403	8.369	2019-10-20T09:09:00Z	2019-10-20T08:29:37Z	293
Plot_13	Stand_7	14.916666666666668	8.65	0.2532	8.717	2019-10-20T10:05:00Z	2019-10-20T09:44:44Z	293
Plot_14	Stand_7	13.7	8.633333333333333	0.2532	8.717	2019-10-20T10:10:00Z	2019-10-20T09:44:44Z	293
Plot_15	Stand_7	16.383333333333333	8.866666666666667	0.2532	8.717	2019-10-20T10:14:00Z	2019-10-20T09:44:44Z	293
Plot_16	Stand_7	13.3	8.833333333333334	0.2532	8.717	2019-10-20T10:18:00Z	2019-10-20T09:44:44Z	293
Plot_17	Stand_7	13.466666666666667	8.816666666666666	0.2532	8.717	2019-10-20T10:21:00Z	2019-10-20T09:44:44Z	293
Plot_18	Stand_7	15.833333333333332	8.616666666666667	0.2532	8.717	2019-10-20T10:24:00Z	2019-10-20T09:44:44Z	293
Plot_77	Stand_7	14.666666666666666	8.75	0.2532	8.717	2019-10-20T10:01:00Z	2019-10-20T09:44:44Z	293
Plot_19	Stand_9	20.8	7.8	0.2677	7.444	2019-10-19T09:46:00Z	2019-10-19T09:28:44Z	292
Plot_20	Stand_9	18.78333333333333	7.633333333333333	0.2677	7.444	2019-10-19T09:53:00Z	2019-10-19T09:28:44Z	292
Plot_21	Stand_9	21.233333333333334	7.55	0.2677	7.444	2019-10-19T09:57:00Z	2019-10-19T09:28:44Z	292
Plot_22	Stand_9	18.7	7.9	0.2677	7.444	2019-10-19T10:01:00Z	2019-10-19T09:28:44Z	292
Plot_23	Stand_9	19.166666666666668	7.566666666666666	0.2677	7.444	2019-10-19T10:04:00Z	2019-10-19T09:28:44Z	292
Plot_24	Stand_9	16.883333333333333	7.366666666666667	0.2677	7.444	2019-10-19T10:06:00Z	2019-10-19T09:28:44Z	292
Plot_78	Stand_9	21.55	7.566666666666666	0.2677	7.444	2019-10-19T09:42:00Z	2019-10-19T09:28:44Z	292
